Year,Offence,Value
30-Jun-16,Stalking and harassment,620
30-Sep-16,Stalking and harassment,780
31-Dec-16,Stalking and harassment,875
31-Mar-17,Stalking and harassment,965
30-Jun-17,Stalking and harassment,1090
30-Sep-17,Stalking and harassment,1137
31-Dec-17,Stalking and harassment,1173
31-Mar-18,Stalking and harassment,1263
30-Jun-18,Stalking and harassment,1360
30-Sep-18,Stalking and harassment,1506
31-Dec-18,Stalking and harassment,1664
31-Mar-03,Violence with injury,1644
31-Mar-04,Violence with injury,2114
31-Mar-05,Violence with injury,2502
31-Mar-06,Violence with injury,2295
31-Mar-07,Violence with injury,1365
30-Jun-07,Violence with injury,1257
30-Sep-07,Violence with injury,1250
31-Dec-07,Violence with injury,1166
31-Mar-08,Violence with injury,1029
30-Jun-08,Violence with injury,981
30-Sep-08,Violence with injury,942
31-Dec-08,Violence with injury,928
31-Mar-09,Violence with injury,917
30-Jun-09,Violence with injury,849
30-Sep-09,Violence with injury,808
31-Dec-09,Violence with injury,748
31-Mar-10,Violence with injury,665
30-Jun-10,Violence with injury,632
30-Sep-10,Violence with injury,569
31-Dec-10,Violence with injury,545
31-Mar-11,Violence with injury,635
30-Jun-11,Violence with injury,645
30-Sep-11,Violence with injury,708
31-Dec-11,Violence with injury,726
31-Mar-12,Violence with injury,663
30-Jun-12,Violence with injury,663
30-Sep-12,Violence with injury,665
31-Dec-12,Violence with injury,668
31-Mar-13,Violence with injury,694
30-Jun-13,Violence with injury,745
30-Sep-13,Violence with injury,735
31-Dec-13,Violence with injury,794
31-Mar-14,Violence with injury,910
30-Jun-14,Violence with injury,957
30-Sep-14,Violence with injury,1128
31-Dec-14,Violence with injury,1248
31-Mar-15,Violence with injury,1277
30-Jun-15,Violence with injury,1382
30-Sep-15,Violence with injury,1446
31-Dec-15,Violence with injury,1444
31-Mar-16,Violence with injury,1526
30-Jun-16,Violence with injury,1596
30-Sep-16,Violence with injury,1630
31-Dec-16,Violence with injury,1700
31-Mar-17,Violence with injury,1686
30-Jun-17,Violence with injury,1763
30-Sep-17,Violence with injury,1767
31-Dec-17,Violence with injury,1733
31-Mar-18,Violence with injury,1758
30-Jun-18,Violence with injury,1713
30-Sep-18,Violence with injury,1710
31-Dec-18,Violence with injury,1765
31-Mar-03,Violence without injury,538
31-Mar-04,Violence without injury,586
31-Mar-05,Violence without injury,858
31-Mar-06,Violence without injury,920
31-Mar-07,Violence without injury,1224
30-Jun-07,Violence without injury,1061
30-Sep-07,Violence without injury,912
31-Dec-07,Violence without injury,760
31-Mar-08,Violence without injury,703
30-Jun-08,Violence without injury,707
30-Sep-08,Violence without injury,683
31-Dec-08,Violence without injury,686
31-Mar-09,Violence without injury,657
30-Jun-09,Violence without injury,627
30-Sep-09,Violence without injury,603
31-Dec-09,Violence without injury,559
31-Mar-10,Violence without injury,499
30-Jun-10,Violence without injury,463
30-Sep-10,Violence without injury,440
31-Dec-10,Violence without injury,413
31-Mar-11,Violence without injury,392
30-Jun-11,Violence without injury,371
30-Sep-11,Violence without injury,355
31-Dec-11,Violence without injury,352
31-Mar-12,Violence without injury,380
30-Jun-12,Violence without injury,385
30-Sep-12,Violence without injury,413
31-Dec-12,Violence without injury,367
31-Mar-13,Violence without injury,344
30-Jun-13,Violence without injury,326
30-Sep-13,Violence without injury,344
31-Dec-13,Violence without injury,450
31-Mar-14,Violence without injury,505
30-Jun-14,Violence without injury,552
30-Sep-14,Violence without injury,597
31-Dec-14,Violence without injury,774
31-Mar-15,Violence without injury,892
30-Jun-15,Violence without injury,1065
30-Sep-15,Violence without injury,1191
31-Dec-15,Violence without injury,1123
31-Mar-16,Violence without injury,1082
30-Jun-16,Violence without injury,1030
30-Sep-16,Violence without injury,990
31-Dec-16,Violence without injury,1032
31-Mar-17,Violence without injury,1100
30-Jun-17,Violence without injury,1179
30-Sep-17,Violence without injury,1261
31-Dec-17,Violence without injury,1325
31-Mar-18,Violence without injury,1479
30-Jun-18,Violence without injury,1714
30-Sep-18,Violence without injury,1935
31-Dec-18,Violence without injury,2108
31-Mar-03,Violence without injury,
31-Mar-04,Violence without injury,
31-Mar-05,Violence without injury,
31-Mar-06,Violence without injury,
31-Mar-07,Violence without injury,
30-Jun-07,Violence without injury,
30-Sep-07,Violence without injury,
31-Dec-07,Violence without injury,
31-Mar-08,Violence without injury,
30-Jun-08,Violence without injury,
30-Sep-08,Violence without injury,
31-Dec-08,Violence without injury,
31-Mar-09,Violence without injury,
30-Jun-09,Violence without injury,
30-Sep-09,Violence without injury,
31-Dec-09,Violence without injury,
31-Mar-10,Violence without injury,
30-Jun-10,Violence without injury,
30-Sep-10,Violence without injury,
31-Dec-10,Violence without injury,
31-Mar-11,Violence without injury,
30-Jun-11,Violence without injury,
30-Sep-11,Violence without injury,
31-Dec-11,Violence without injury,
31-Mar-12,Violence without injury,
30-Jun-12,Violence without injury,
30-Sep-12,Violence without injury,
31-Dec-12,Violence without injury,
31-Mar-13,Violence without injury,
30-Jun-13,Violence without injury,
30-Sep-13,Violence without injury,
31-Dec-13,Violence without injury,
31-Mar-14,Violence without injury,
30-Jun-14,Violence without injury,
30-Sep-14,Violence without injury,
31-Dec-14,Violence without injury,
31-Mar-15,Violence without injury,
30-Jun-15,Violence without injury,
30-Sep-15,Violence without injury,
31-Dec-15,Violence without injury,
31-Mar-16,Violence without injury,
30-Jun-16,Violence without injury,
30-Sep-16,Violence without injury,
31-Dec-16,Violence without injury,
31-Mar-17,Violence without injury,
30-Jun-17,Violence without injury,
30-Sep-17,Violence without injury,
31-Dec-17,Violence without injury,
31-Mar-18,Violence without injury,
30-Jun-18,Violence without injury,
30-Sep-18,Violence without injury,
31-Dec-18,Violence without injury,
